category,section,name,url,description,icon_url,data_code
Communication,The latest,Locket Widget,https://locket.en.uptodown.com/android,用于查看实时收到的照片的小部件,https://img.utdstc.com/icon/aaa/a76/aaaa760fe114184e75bdad219ebaf63c3665a9a1f7c5e2fa5941425b819efce0,1117370
Communication,The latest,Дія,https://ua-gov-diia-app.en.uptodown.com/android,管理您在乌克兰的官方文件,https://img.utdstc.com/icon/647/3a6/6473a66748d4aa50e076903ae3e9aa5208815a131c1d1b936e6f16c70d23eb19,1083793
Communication,The latest,note（ノート）,https://mu-note.en.uptodown.com/android,为创作者和支持者提供的动态媒体平台,https://img.utdstc.com/icon/936/a1a/936a1a0d0bbc6bf879d70fe5de379cfaf385f0db034ab826a97b53ba9f76d042,1473789
Communication,The latest,LinkedIn,https://linkedin.en.uptodown.com/android,及时了解工作世界的最新动态,https://img.utdstc.com/icon/1ce/63c/1ce63cbbb88df4a4beda4536aa387ff7616ff9b4972d11134903d57398d4bd7e,18131
Communication,The latest,GiftCode,https://giftcode.en.uptodown.com/android,通过有趣的活动和挑战赚取游戏奖励,https://img.utdstc.com/icon/752/be1/752be1667e3d4c970c9e730107291013e429cf9caf8901d1bda14c2573cc0a06,1919842
Communication,The latest,Dcard,https://dcard.en.uptodown.com/android,位于台湾的匿名社交网络,https://img.utdstc.com/icon/875/990/875990056878216b03bcad6e0861285bb36d392319f9926ade5e20b3f673ffc3,240193
Communication,The latest,TikPlus Fans,https://tikplus-fans.en.uptodown.com/android,使用促进社交发展的有机工具提高个人资料可见度,https://img.utdstc.com/icon/44c/456/44c45624c484591b4f37935b7fb10bcd0242152d79a7f0bc7cb4f6718053ce90,1000526570
Communication,The latest,WOM (Chile),https://wom-chile.en.uptodown.com/android,管理您的智利电信服务、跟踪使用情况并轻松购买数据,https://img.utdstc.com/icon/22f/f4c/22ff4cf24e9816e81043350117b9c72ffeb54d9b2a0da370912488672a4d24f2,1501302
Communication,The latest,Video Chat,https://com-videochat-videocall.en.uptodown.com/android,通过随机实时视频通话进行全球连接,https://img.utdstc.com/icon/928/3dc/9283dc1e7292817fb4740c0facb1bf2848a4a2eea98a915e28e81102fd90273e,1000328355
Communication,The latest,Cara,https://cara.en.uptodown.com/android,艺术家的作品集和社交网络平台,https://img.utdstc.com/icon/391/a23/391a23ff03fdcc58a7bb8477711ab285258b746cab242cc2cb6d438015cb5c38,1000155641
Communication,The latest,Lowins - Gay Live Video Chat,https://lowins-gay-live-video-chat.en.uptodown.com/android,同性恋视频聊天，带来有趣、真诚的联系,https://img.utdstc.com/icon/7c0/5fc/7c05fc7862d7d1848b336c07640011d63ecb3680f4c45f1914ba70025c85daab,1700245
Communication,The latest,Multi Forum,https://multi-forum.en.uptodown.com/android,简化商场互动并通过 Multi Forum 保持更新,https://img.utdstc.com/icon/680/e4a/680e4a5670a09a76bed8ce5742a3cee47bb9ddb3942112e711f13df341e980da,1949567
Communication,The latest,Call Blocker - Block Numbers,https://call-blocker-block-numbers.en.uptodown.com/android,高效的 Android 垃圾电话拦截应用程序，具有实时来电显示,https://img.utdstc.com/icon/945/daa/945daacd1d731bce6ad3d517d9420b90e2cd9369e840751a8f13e6463365d8d5,1508157
Communication,The latest,imo,https://imo-messenger.en.uptodown.com/android,与所有朋友即时通讯,https://img.utdstc.com/icon/92c/b08/92cb086e6642d8622021179c90e328da5d0ebc39d4c039d09be5b29eb74bef08,21140
Communication,The latest,Couple Widget,https://couple-widget.en.uptodown.com/android,永远不会再忘记您和您伴侣的周年纪念日,https://img.utdstc.com/icon/e64/f32/e64f32d6cfa34cdbe7cc8b50ad4266fe894e6897eb304db82b9f2be7802cf4e1,772345
Communication,The latest,Simpel,https://simpel.en.uptodown.com/android,通过上限控制功能跟踪移动数据并管理成本,https://img.utdstc.com/icon/591/aa1/591aa1f2c73caddb1cda9c677d560909d1d8bc66ff4c54cf68d97df0c8be8861,1381633
